city,state,HotelName,Address,PhoneNumber,HotelWebsite,HotelRating,Spa,Airport shuttle,Business Center,Pool,Contactless check,Pet friendly,Free Wifi,Wheel-chair accessible,Complementary breakfast,Fitness Center,24 hr front desk,Valet Parking,Open bar,smoking
Philadelphia,PA,Embassy Suites  Airport,9000 Bartram Avenue PhiladelphiaPA 19153,2153654500,http://embassysuites.hilton.com/en/es/hotels/index.jhtml?ctyhocn=PHLAPES,3.0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
Philadelphia,PA,Hampton Inn  Airport,8600 Bartram Avenue PhiladelphiaPennsylvania 19153,2159661300,http://hamptoninn.hilton.com/en/hp/hotels/index.jhtml?ctyhocn=PHLATHX,2.0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,The Inn At Penn A Hilton Hotel,3600 Sansom Street PhiladelphiaPennsylvania 19104,2152220200,http://www1.hilton.com/en_US/hi/hotel/PHLIDHH/index.do,4.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Hilton  City Avenue,4200 City Avenue PhiladelphiaPA 19131,2158794000,http://www1.hilton.com/en_US/hi/hotel/PHLPHHF/index.do,4.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
Philadelphia,PA,DoubleTree Suites By Hilton  West,640 Fountain Road Plymouth MeetingPennsylvania 19462-1003,6108348300,http://doubletree3.hilton.com/en/hotels/location/P,4.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Hampton Inn  Plymouth Meeting,2055 Chemical Road Plymouth MeetingPA 19462,6105670900,http://hamptoninn3.hilton.com/en/hotels/pennsylvania/hampton-inn-philadelphia-plymouth-meeting-PHLPMHX/index.html,2.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Hampton Inn  King of Prussia,530 W. Dekalb Pike 19406 King Of Prussia Route 202King of Prussia 19406Pennsylvania,6109628111,http://hamptoninn3.hilton.com/en/hotels/pennsylvania/hampton-inn-philadelphia-king-of-prussia-valley-forge-PHLKPHX/index.html,2.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,DoubleTree by Hilton Hotel  Valley Forge,301 W Dekalb Pike King Of PrussiaPennsylvania 19406,6103371200,http://doubletree3.hilton.com/en/hotels/location/P,4.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Homewood Suites by Hilton Lansdale,1200 Pennbrook Pkwy LansdalePennsylvania 19446,2153626400,http://homewoodsuites3.hilton.com/en/hotels/pennsylvania/homewood-suites-by-hilton-lansdale-LDLPAHW/index.html,3.0,1,0,1,1,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Hampton Inn & Suites Valley Forge Oaks,100 Cresson Boulevard Phoenixville 19460Pennsylvania,6106760900,http://hamptoninn3.hilton.com/en/hotels/pennsylvania/hampton-inn-and-suites-valley-forge-oaks-PHLVYHX/index.html,2.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
Philadelphia,PA,Hampton Inn  Willow Grove,1500 Easton Road 1500 Willow GrovePA 19090,2156593535,https://www.booking.com/hotel/us/hampton-inn-philadelphia-willow-grove.htm,2.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,The Point at Rittenhouse Row,1601 Sansom Street PhiladelphiaPennsylvania 19103,8449202119,https://thepointatrittenhouserowapts.com,3.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Philadelphia,PA,Wyndham Garden Glen Mills Wilmington,1110 Baltimore Pike Glen MillsPennsylvania 19342-1060,6103581700,http://www.wyndham.com/hotels/pennsylvania/glen-mills/wyndham-garden-glen-mills-wilmington/hotel-ove,3.0,0,0,1,1,1,0,0,1,1,0,1,1,0,0
Philadelphia,PA,Radisson Hotel Valley Forge,1160 First Avenue King Of Prussia 19406 King of PrussiaMontgomery CountyPennsylvania 19406,6103372000,http://www.radisson.com/kingofprussiapa,3.0,1,0,1,1,1,0,0,0,1,1,1,1,1,0
Philadelphia,PA,Radisson Hotel  Northeast,2400 Old Lincoln Highway TrevosePennsylvania 19053,2156388300,http://www.radisson.com/trevose-hotel-pa-19053/patrevos,3.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
